"'@timestamp"	"kubernetes.container_name"	log
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"Accept: */*"
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"(empty)"
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.a.c.v.RemoteIpValve:log:173 : Incoming request /management/actuator/health/liveness with originalRemoteAddr [169.254.7.127], originalRemoteHost=[169.254.7.127], originalSecure=[false], originalScheme=[http], originalServerName=[100.65.100.68], originalServerPort=[8081] will be seen as newRemoteAddr=[169.254.7.127], newRemoteHost=[169.254.7.127], newSecure=[false], newScheme=[http], newServerName=[100.65.100.68], newServerPort=[8081]  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.a.c.r.RealmBase:log:173 :   No applicable constraints defined  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.a.c.c.StandardWrapper:log:173 :   Returning instance  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.s.w.s.DispatcherServlet:traceDebug:117 : GET ""/management/actuator/health/liveness"", parameters={}, headers={masked} in DispatcherServlet 'dispatcherServletRegistration'  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.a.c.h.Http11InputBuffer:log:173 : Received [GET /management/actuator/health/liveness HTTP/1.1"
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"User-Agent: kube-probe/1.35+"
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"Connection: close"
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"]  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.a.c.a.AuthenticatorBase:log:173 : Security checking request GET /management/actuator/health/liveness  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.a.c.a.AuthenticatorBase:log:173 : Not subject to any constraint  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.a.t.u.h.Parameters:log:173 : Set encoding to ISO-8859-1  "
"May 19, 2026 @ 10:30:00.596"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping:getHandler:525 : Mapped to Actuator web endpoint 'health-path'  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.596 [gop-standard-adapter - ] TRACE o.s.w.m.HandlerMethod:invokeForRequest:148 : Arguments: [org.apache.catalina.connector.RequestFacade@5a016bba, null]  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] TRACE o.s.w.s.m.m.a.HttpEntityMethodProcessor:traceDebug:117 : Writing [org.springframework.boot.actuate.health.CompositeHealth@5831aa0a]  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] TRACE o.s.w.s.DispatcherServlet:processDispatchResult:1166 : No view rendering, null ModelAndView returned.  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] TRACE o.a.c.h.Http11Processor:log:173 : Socket: [org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@3427282d:org.apache.tomcat.util.net.NioChannel@6d9829e3:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44704]], Status in: [OPEN_READ], State out: [CLOSED]  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] TRACE o.a.t.u.t.LimitLatch:log:173 : Counting down[http-nio-8081-exec-8] latch=1  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] DEBUG o.s.w.s.m.m.a.HttpEntityMethodProcessor:writeWithMessageConverters:275 : Using 'application/vnd.spring-boot.actuator.v3+json', given [*/*] and supported [application/vnd.spring-boot.actuator.v3+json, application/vnd.spring-boot.actuator.v2+json, application/json]  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] TRACE o.s.w.s.m.m.a.RequestMappingHandlerAdapter:prepareResponse:405 : Applying default cacheSeconds=-1  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] DEBUG o.s.w.s.DispatcherServlet:logResult:1135 : Completed 200 OK, headers={masked}  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Pushed Processor [org.apache.coyote.http11.Http11Processor@7dbd337c]  "
"May 19, 2026 @ 10:30:00.597"	"gop-standard-adapter"	"2026-05-19 02:30:00.597 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : Calling [org.apache.tomcat.util.net.NioEndpoint@24dfa35].closeSocket([org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@3427282d:org.apache.tomcat.util.net.NioChannel@6d9829e3:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44704]])  "
"May 19, 2026 @ 10:30:00.816"	"gop-standard-adapter"	"2026-05-19 02:30:00.816 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157800815; nextExpiration=1779157800814; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:00.925"	"gop-standard-adapter"	"2026-05-19 02:30:00.925 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157800925; nextExpiration=1779157800923; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:01.142"	"gop-partner-provision-service"	"2026-05-19 02:30:01.142 [gop-partner-provision-service - 1ca7cdf3bcb790d0916836effff01ab0] INFO c.s.g.f.AuthenticationInterceptor:preHandle:61 : No authorization header. use x-partner-auth header  "
"May 19, 2026 @ 10:30:01.142"	"gop-partner-provision-service"	"2026-05-19 02:30:01.142 [gop-partner-provision-service - 1ca7cdf3bcb790d0916836effff01ab0] INFO c.s.g.f.AuthenticationInterceptor:preHandle:64 : Incoming API call for = \/gop-partner-provision-service\/v2\/provision\/GetActivationInfo from partner id = 1f6a9943-45e2-4c96-9d5b-629aff84a183  "
"May 19, 2026 @ 10:30:01.143"	"gop-partner-provision-service"	"2026-05-19 02:30:01.143 [gop-partner-provision-service - 1ca7cdf3bcb790d0916836effff01ab0] INFO c.s.g.a.ProvisionController:getActivationInfo:30 : [API_REQUEST] /v2/provision/GetActivationInfo request = GetActivationInfoRequest(transactionId=123456789, provisioningServiceProvider=)  "
"May 19, 2026 @ 10:30:01.143"	"gop-partner-provision-service"	"2026-05-19 02:30:01.143 [gop-partner-provision-service - 1ca7cdf3bcb790d0916836effff01ab0] INFO c.s.g.s.PartnerService:getActivationInfo:78 : Start get activation info, request = com.singtel.gdl.dto.RequestData[ partnerId=1f6a9943-45e2-4c96-9d5b-629aff84a183, authHeader=null, transactionUuid=123456789, provisioningServiceProvider=, reseller=null, userToken=null, referenceCode=null, merchantRequestId=null, ban=null, msisdn=null, notificationCode=null, message=null, productCode=null, effectiveDate=null, identityType=null, identityValue=null, contactNumber=null, emailAddress=null,  ]  "
"May 19, 2026 @ 10:30:01.148"	"gop-partner-provision-service"	"2026-05-19 02:30:01.148 [gop-partner-provision-service - 1ca7cdf3bcb790d0916836effff01ab0] ERROR c.s.g.s.ValidatorService:validateProvisionTransactionShouldExistsByTransactionUUID:287 : Provision transaction not found for transaction uuid = 123456789  "
"May 19, 2026 @ 10:30:01.148"	"gop-partner-provision-service"	"2026-05-19 02:30:01.148 [gop-partner-provision-service - 1ca7cdf3bcb790d0916836effff01ab0] ERROR c.s.g.e.GenericExceptionHandler:badRequestException:75 : |EXCEPTION|BAD_REQUEST| Bad request exception occurred, Trail : Action = /v2/provision/GetActivationInfo, clientIps = 10.0.106.80, exceptionMessage = No valid provision transaction, requestBody = GetActivationInfoRequest(transactionId=123456789, provisioningServiceProvider=), responseBody = ErrorResponse(result=INVALID_TRANSACTION, message=No valid provision transaction [traceId=1ca7cdf3bcb790d0916836effff01ab0]), responseStatus = 400 BAD_REQUEST, traceId =  [traceId=1ca7cdf3bcb790d0916836effff01ab0], timeElapsed = 6 ms  "
"May 19, 2026 @ 10:30:01.149"	"gop-partner-provision-service"	"2026-05-19 02:30:01.149 [gop-partner-provision-service - 1ca7cdf3bcb790d0916836effff01ab0] INFO c.s.g.f.AuthenticationInterceptor:afterCompletion:159 : audit = Action = \/v2\/provision\/GetActivationInfo, clientIps = 10.0.106.80, exceptionMessage = No valid provision transaction, requestBody = GetActivationInfoRequest(transactionId=123456789, provisioningServiceProvider=), responseBody = ErrorResponse(result=INVALID_TRANSACTION, message=No valid provision transaction [traceId=1ca7cdf3bcb790d0916836effff01ab0]), responseStatus = 400 BAD_REQUEST, traceId =  [traceId=1ca7cdf3bcb790d0916836effff01ab0], timeElapsed = 7 ms  "
"May 19, 2026 @ 10:30:01.284"	"gop-standard-adapter"	"2026-05-19 02:30:01.284 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157801284; nextExpiration=1779157801283; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:01.326"	"gop-standard-adapter"	"2026-05-19 02:30:01.326 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157801326; nextExpiration=1779157801324; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.t.u.t.LimitLatch:log:173 : Counting up[http-nio-8081-Acceptor] latch=1  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.t.u.n.SocketWrapperBase:log:173 : Socket: [org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@6b1952f1:org.apache.tomcat.util.net.NioChannel@49942c70:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44716]], Read from buffer: [0]  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"Accept: */*"
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Found processor [null] for socket [org.apache.tomcat.util.net.NioChannel@49942c70:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44716]]  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.c.h.Http11InputBuffer:log:173 : Received [GET /management/actuator/health/readiness HTTP/1.1"
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"(empty)"
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Processing socket [org.apache.tomcat.util.net.NioChannel@49942c70:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44716]] with status [OPEN_READ]  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : Socket: [org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@6b1952f1:org.apache.tomcat.util.net.NioChannel@49942c70:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44716]], Read direct from socket: [142]  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"Connection: close"
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Popped processor [org.apache.coyote.http11.Http11Processor@7dbd337c] from cache  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"Host: 100.65.100.68:8081"
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"]  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"2026-05-19 02:30:01.414 [gop-standard-adapter - ] TRACE o.a.c.h.Http11InputBuffer:log:173 : Before fill(): parsingHeader: [true], parsingRequestLine: [true], parsingRequestLinePhase: [0], parsingRequestLineStart: [0], byteBuffer.position(): [0], byteBuffer.limit(): [0], end: [141]  "
"May 19, 2026 @ 10:30:01.414"	"gop-standard-adapter"	"User-Agent: kube-probe/1.35+"
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.a.c.a.AuthenticatorBase:log:173 : Security checking request GET /management/actuator/health/readiness  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.s.w.s.DispatcherServlet:traceDebug:117 : GET ""/management/actuator/health/readiness"", parameters={}, headers={masked} in DispatcherServlet 'dispatcherServletRegistration'  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.a.c.a.AuthenticatorBase:log:173 : Not subject to any constraint  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.s.w.m.HandlerMethod:invokeForRequest:148 : Arguments: [org.apache.catalina.connector.RequestFacade@5e70bcbe, null]  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.a.c.r.RealmBase:log:173 :   No applicable constraints defined  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping:getHandler:525 : Mapped to Actuator web endpoint 'health-path'  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.a.c.c.StandardWrapper:log:173 :   Returning instance  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.a.c.v.RemoteIpValve:log:173 : Incoming request /management/actuator/health/readiness with originalRemoteAddr [169.254.7.127], originalRemoteHost=[169.254.7.127], originalSecure=[false], originalScheme=[http], originalServerName=[100.65.100.68], originalServerPort=[8081] will be seen as newRemoteAddr=[169.254.7.127], newRemoteHost=[169.254.7.127], newSecure=[false], newScheme=[http], newServerName=[100.65.100.68], newServerPort=[8081]  "
"May 19, 2026 @ 10:30:01.415"	"gop-standard-adapter"	"2026-05-19 02:30:01.415 [gop-standard-adapter - ] TRACE o.a.t.u.h.Parameters:log:173 : Set encoding to ISO-8859-1  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] TRACE o.s.w.s.m.m.a.RequestMappingHandlerAdapter:prepareResponse:405 : Applying default cacheSeconds=-1  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] TRACE o.a.t.u.t.LimitLatch:log:173 : Counting down[http-nio-8081-exec-9] latch=1  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] DEBUG o.s.w.s.DispatcherServlet:logResult:1135 : Completed 200 OK, headers={masked}  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] TRACE o.s.w.s.DispatcherServlet:processDispatchResult:1166 : No view rendering, null ModelAndView returned.  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : Calling [org.apache.tomcat.util.net.NioEndpoint@24dfa35].closeSocket([org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@6b1952f1:org.apache.tomcat.util.net.NioChannel@49942c70:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44716]])  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] DEBUG o.s.w.s.m.m.a.HttpEntityMethodProcessor:writeWithMessageConverters:275 : Using 'application/vnd.spring-boot.actuator.v3+json', given [*/*] and supported [application/vnd.spring-boot.actuator.v3+json, application/vnd.spring-boot.actuator.v2+json, application/json]  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] TRACE o.a.c.h.Http11Processor:log:173 : Socket: [org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper@6b1952f1:org.apache.tomcat.util.net.NioChannel@49942c70:java.nio.channels.SocketChannel[connected local=/100.65.100.68:8081 remote=/169.254.7.127:44716]], Status in: [OPEN_READ], State out: [CLOSED]  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] TRACE o.s.w.s.m.m.a.HttpEntityMethodProcessor:traceDebug:117 : Writing [org.springframework.boot.actuate.health.CompositeHealth@571cca07]  "
"May 19, 2026 @ 10:30:01.416"	"gop-standard-adapter"	"2026-05-19 02:30:01.416 [gop-standard-adapter - ] TRACE o.a.c.h.Http11NioProtocol:log:173 : Pushed Processor [org.apache.coyote.http11.Http11Processor@7dbd337c]  "
"May 19, 2026 @ 10:30:01.481"	"gop-standard-adapter"	"2026-05-19 02:30:01.480 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157801480; nextExpiration=1779157801479; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:01.817"	"gop-standard-adapter"	"2026-05-19 02:30:01.817 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157801817; nextExpiration=1779157801815; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:01.926"	"gop-standard-adapter"	"2026-05-19 02:30:01.926 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157801926; nextExpiration=1779157801925; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:02.285"	"gop-standard-adapter"	"2026-05-19 02:30:02.285 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157802285; nextExpiration=1779157802284; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:02.327"	"gop-standard-adapter"	"2026-05-19 02:30:02.327 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157802327; nextExpiration=1779157802326; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:02.415"	"gop-standard-adapter"	"2026-05-19 02:30:02.415 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157802415; nextExpiration=1779157801423; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:02.482"	"gop-standard-adapter"	"2026-05-19 02:30:02.482 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157802482; nextExpiration=1779157802480; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:02.818"	"gop-standard-adapter"	"2026-05-19 02:30:02.818 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157802818; nextExpiration=1779157802817; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:02.928"	"gop-standard-adapter"	"2026-05-19 02:30:02.927 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157802927; nextExpiration=1779157802926; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:03.286"	"gop-standard-adapter"	"2026-05-19 02:30:03.286 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157803285; nextExpiration=1779157803285; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:03.328"	"gop-standard-adapter"	"2026-05-19 02:30:03.328 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157803328; nextExpiration=1779157803327; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:03.416"	"gop-standard-adapter"	"2026-05-19 02:30:03.416 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157803416; nextExpiration=1779157803415; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:03.483"	"gop-standard-adapter"	"2026-05-19 02:30:03.483 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157803483; nextExpiration=1779157803482; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:03.820"	"gop-standard-adapter"	"2026-05-19 02:30:03.820 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157803819; nextExpiration=1779157803818; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:03.929"	"gop-standard-adapter"	"2026-05-19 02:30:03.929 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157803928; nextExpiration=1779157803927; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:04.287"	"gop-standard-adapter"	"2026-05-19 02:30:04.287 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157804287; nextExpiration=1779157804285; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:04.329"	"gop-standard-adapter"	"2026-05-19 02:30:04.329 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157804329; nextExpiration=1779157804328; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:04.418"	"gop-standard-adapter"	"2026-05-19 02:30:04.417 [gop-standard-adapter - ] TRACE o.a.t.u.n.NioEndpoint:log:173 : timeout completed: keys processed=0; now=1779157804417; nextExpiration=1779157804416; keyCount=0; hasEvents=false; eval=false  "
"May 19, 2026 @ 10:30:04.426"	"gop-standard-adapter"	"2026-05-19 02:30:04.426 [gop-standard-adapter - ] TRACE o.a.c.s.ManagerBase:log:173 : Start expire sessions StandardManager at 1779157804425 sessioncount 0  "
